01/05/2025; 17:18; 127.0.0.1; Vini; TODOS; TODOS; login
01/05/2025; 17:18; 127.0.0.1; Willi; TODOS; TODOS; login
01/05/2025; 17:18; 127.0.0.1; Vini; 127.0.0.1; Willi; msg:teste
01/05/2025; 17:20; 127.0.0.1; Vioni; TODOS; TODOS; login
01/05/2025; 17:20; 127.0.0.1; Willi; TODOS; TODOS; login
01/05/2025; 17:20; 127.0.0.1; Vioni; 127.0.0.1; Willi; msg:tetse
01/05/2025; 17:20; 127.0.0.1; Willi; 127.0.0.1; Vioni; msg:sadasd
01/05/2025; 17:20; 127.0.0.1; Vioni; 127.0.0.1,127.0.0.1; Vioni,Willi; msg:asdsad
01/05/2025; 17:20; 127.0.0.1; Willi; 127.0.0.1,127.0.0.1; Vioni,Willi; msg:ddddd
01/05/2025; 17:24; 127.0.0.1; Vioni; 127.0.0.1; Willi; msg:todos
01/05/2025; 17:24; 127.0.0.1; Rafa; TODOS; TODOS; login
01/05/2025; 17:24; 127.0.0.1; Rafa; 127.0.0.1,127.0.0.1,127.0.0.1; Vioni,Willi,Rafa; msg:Todos
01/05/2025; 17:25; 127.0.0.1; Vioni; 127.0.0.1,127.0.0.1,127.0.0.1; Vioni,Willi,Rafa; msg:teste
01/05/2025; 17:27; 127.0.0.1; Vini; TODOS; TODOS; login
01/05/2025; 17:27; 127.0.0.1; Willi; TODOS; TODOS; login
01/05/2025; 17:27; 127.0.0.1; Willi; 127.0.0.1,127.0.0.1; Vini,Willi; msg:Teste
01/05/2025; 17:27; 127.0.0.1; Willi; 127.0.0.1; Vini; msg:Teste
01/05/2025; 17:27; 127.0.0.1; Vini; 127.0.0.1,127.0.0.1; Vini,Willi; msg:Todos
01/05/2025; 17:27; 127.0.0.1; Vini; 127.0.0.1; Willi; msg:Inidiviaul
01/05/2025; 17:31; 127.0.0.1; Vnin; TODOS; TODOS; login
01/05/2025; 17:32; 127.0.0.1; Willi; TODOS; TODOS; login
01/05/2025; 17:32; 127.0.0.1; Vnin; 127.0.0.1,127.0.0.1; Vnin,Willi; msg:Teste
01/05/2025; 17:32; 127.0.0.1; Vnin; 127.0.0.1; Willi; msg:teste
01/05/2025; 17:36; 127.0.0.1; vini; TODOS; TODOS; login
01/05/2025; 17:36; 127.0.0.1; Willi; TODOS; TODOS; login
01/05/2025; 17:36; 127.0.0.1; vini; 127.0.0.1,127.0.0.1; vini,Willi; msg:todos
01/05/2025; 17:36; 127.0.0.1; Willi; 127.0.0.1,127.0.0.1; vini,Willi; msg:todos
01/05/2025; 17:38; 127.0.0.1; vini; TODOS; TODOS; login
01/05/2025; 17:38; 127.0.0.1; willi; TODOS; TODOS; login
01/05/2025; 17:38; 127.0.0.1; vini; 127.0.0.1,127.0.0.1; vini,willi; msg:Todos
01/05/2025; 17:39; 127.0.0.1; vini; TODOS; TODOS; login
01/05/2025; 17:39; 127.0.0.1; willi; TODOS; TODOS; login
01/05/2025; 17:39; 127.0.0.1; vini; 127.0.0.1,127.0.0.1; vini,willi; msg:Todos
01/05/2025; 17:41; 127.0.0.1; Vini; TODOS; TODOS; login
01/05/2025; 17:41; 127.0.0.1; EIlli; TODOS; TODOS; login
01/05/2025; 17:41; 127.0.0.1; Vini; 127.0.0.1,127.0.0.1; Vini,EIlli; msg:sadasdsa
01/05/2025; 17:47; 127.0.0.1; Vini; TODOS; TODOS; login
01/05/2025; 17:47; 127.0.0.1; Willi; TODOS; TODOS; login
01/05/2025; 17:47; 127.0.0.1; Vini; 127.0.0.1,127.0.0.1; Vini,Willi; msg:Todos
